Date,Name,Workmail
2026-07-02,Priya Nair,priya.nair@zephyrhealth.in
2026-07-05,Arjun Malhotra,arjun@nimbuscommerce.co
2026-07-09,Sanya Kapoor,sanya.kapoor@fintrail.io
2026-07-14,Rohit Verma,rohit.v@stackforge.dev
2026-07-18,Ananya Rao,ananya@lumenanalytics.in
2026-07-22,Karan Bhatia,karan.bhatia@greylabs.co
2026-07-27,Meera Iyer,meera@northpeaktech.com
2026-08-01,Vikram Singh,vikram.singh@orbitpay.in
2026-08-05,Divya Menon,divya.menon@cloverworks.io
2026-08-09,Aditya Kulkarni,aditya@brightlanehq.com
2026-08-13,Neha Chawla,neha.chawla@vertexlabs.in
2026-08-17,Siddharth Rao,sid@haloventures.co
